"","VannKraftverkID","Navn","VannKVType","HovedEier","HovedEier_OrgNr","Fylke","FylkesNr","Kommune","KommuneNr","ForsteUtnyttelseAvFalletDato","DatoForEldsteKraftproduserendeDel","MaksYtelse","MidProd_81_10","BruttoFallhoyde_M","Slukeevne","EnEkv","ElspotomraadeNummer","RegineNr"
"1",1,"Aall-Ulefoss","Kraftverk","RINGERIKSKRAFT PRODUKSJON AS","987293586","Telemark","08","Nome","19","1948-01-01T00:00:00","1948-01-01T00:00:00",5.7,44.016,10.6,66,0.025,"2","016.BA11"
"2",1189,"Aaning","Kraftverk","","","Sogn og Fjordane","14","Stryn","49","1999-01-01T00:00:00","1999-01-01T00:00:00",0.016,0.07,NA,NA,NA,"3","088.B11"
"3",1096,"Aarskog","Kraftverk","FITJAR KRAFTLAG SA","971028548","Hordaland","12","Fitjar","22","1996-01-01T00:00:00","1996-01-01T00:00:00",0.83,3.1,NA,NA,NA,"2","044.6"
"4",774,"Aas","Kraftverk","LØVENSKIOLD FOSSUM KRAFT","982699614","Telemark","08","Skien","06","1908-01-01T00:00:00","1998-01-01T00:00:00",1,4.9422,19,6.5,0.05,"2","016.AB"
"5",2,"Adamselv","Kraftverk","STATKRAFT ENERGI AS","987059729","Finnmark - Finnmárku","20","Lebesby","22","1973-01-01T00:00:00","1973-01-01T00:00:00",50,215,200,30.19,0.46,"4","229.3Z"
"6",1290,"Adamselv II","Kraftverk","","","Finnmark - Finnmárku","20","Lebesby","22","2007-01-01T00:00:00","2007-01-01T00:00:00",0.4,2,NA,NA,NA,"4","229.3Z"
"7",1268,"Aga","Kraftverk","","","Hordaland","12","Granvin","34","2007-01-01T00:00:00","2007-01-01T00:00:00",0.05,0.25,NA,NA,NA,"5","052.1B"
"8",1527,"Aklestad","Kraftverk","","","Møre og Romsdal","15","Ørsta","20","2008-01-01T00:00:00","2008-01-01T00:00:00",0.0115,0.1,NA,NA,NA,"3","097.1Z"
"9",1677,"Akslandselva","Kraftverk","AKSLANDSELVA KRAFTVERK AS","991005625","Hordaland","12","Etne","11","2013-07-15T00:00:00","2013-07-15T00:00:00",1.7,6.06,332.5,0.67,0.705,"2","042.11Z"
"10",938,"Alnes Vannbehandlingsanlegg","Kraftverk","GISKE KOMMUNE","964980721","Møre og Romsdal","15","Giske","32","1997-01-01T00:00:00","1997-01-01T00:00:00",0.06,0.18,NA,NA,NA,"3","101.72"
